"","endstate","startstate","NgramSize"
"in the day","and","in the day",4
"in the dead","of","in the dead",4
"in the direction","of","in the direction",4
"in the door","and","in the door",4
"in the downtown","area","in the downtown",4
"in the early","s","in the early",4
"in the east","and","in the east",4
"in the end","the","in the end",4
"in the entire","world","in the entire",4
"in the era","of","in the era",4
"in the eyes","of","in the eyes",4
"in the fall","and","in the fall",4
"in the field","of","in the field",4
"in the final","game","in the final",4
"in the first","place","in the first",4
"in the form","of","in the form",4
"in the front","window","in the front",4
"in the future","but","in the future",4
"in the game","of","in the game",4
"in the grand","scheme","in the grand",4
"in the grocery","store","in the grocery",4
"in the habit","of","in the habit",4
"in the hands","of","in the hands",4
"in the head","with","in the head",4
"in the heart","of","in the heart",4
"in the hearts","of","in the hearts",4
"in the history","of","in the history",4
"in the hopes","of","in the hopes",4
"in the house","and","in the house",4
"in the hunt","for","in the hunt",4
"in the kentucky","derby","in the kentucky",4
"in the land","of","in the land",4
"in the last","few","in the last",4
"in the late","s","in the late",4
"in the lives","of","in the lives",4
"in the living","room","in the living",4
"in the lobby","of","in the lobby",4
"in the long","run","in the long",4
"in the los","angeles","in the los",4
"in the majority","of","in the majority",4
"in the market","for","in the market",4
"in the meantime","here","in the meantime",4
"in the middle","of","in the middle",4
"in the midst","of","in the midst",4
"in the mind","of","in the mind",4
"in the month","of","in the month",4
"in the mood","to","in the mood",4
"in the morning","and","in the morning",4
"in the name","of","in the name",4
"in the near","future","in the near",4
"in the new","york","in the new",4
"in the next","few","in the next",4
"in the office","and","in the office",4
"in the olympic","games","in the olympic",4
"in the park","and","in the park",4
"in the parking","lot","in the parking",4
"in the past","year","in the past",4
"in the place","of","in the place",4
"in the process","of","in the process",4
"in the real","world","in the real",4
"in the recent","past","in the recent",4
"in the rest","of","in the rest",4
"in the right","direction","in the right",4
"in the room","and","in the room",4
"in the running","for","in the running",4
"in the s","and","in the s",4
"in the same","way","in the same",4
"in the school","of","in the school",4
"in the second","period","in the second",4
"in the shadow","of","in the shadow",4
"in the shape","of","in the shape",4
"in the short","term","in the short",4
"in the south","and","in the south",4
"in the spirit","of","in the spirit",4
"in the st","century","in the st",4
"in the state","of","in the state",4
"in the street","and","in the street",4
"in the swing","of","in the swing",4
"in the th","minute","in the th",4
"in the time","of","in the time",4
"in the top","of","in the top",4
"in the trunk","of","in the trunk",4
"in the united","states","in the united",4
"in the us","but","in the us",4
"in the vein","of","in the vein",4
"in the wake","of","in the wake",4
"in the way","of","in the way",4
"in the western","conference","in the western",4
"in the window","of","in the window",4
"in the woods","and","in the woods",4
"in the words","of","in the words",4
"in the works","for","in the works",4
"in the world","of","in the world",4
"in the wrong","direction","in the wrong",4
"in their time","of","in their time",4
"in this age","of","in this age",4
"in this case","the","in this case",4
"in this country","and","in this country",4
"in this life","and","in this life",4
"in time for","the","in time for",4
"in touch with","your","in touch with",4
"in which he","has","in which he",4
"in which it","was","in which it",4
"in your heart","and","in your heart",4
"instead of being","a","instead of being",4
"instead of the","usual","instead of the",4
"instead of trying","to","instead of trying",4
"instead of waiting","for","instead of waiting",4
"interested in learning","more","interested in learning",4
"into that kind","of","into that kind",4
"into the back","of","into the back",4
"into the life","of","into the life",4
"is a beautiful","thing","is a beautiful",4
"is a big","deal","is a big",4
"is a bit","of","is a bit",4
"is a chance","to","is a chance",4
"is a critical","component","is a critical",4
"is a fan","of","is a fan",4
"is a good","thing","is a good",4
"is a great","way","is a great",4
"is a kind","of","is a kind",4
"is a little","bit","is a little",4
"is a lot","of","is a lot",4
"is a member","of","is a member",4
"is a part","of","is a part",4
"is a perfect","fit","is a perfect",4
"is a place","where","is a place",4
"is a really","good","is a really",4
"is a reflection","of","is a reflection",4
"is a reminder","of","is a reminder",4
"is a sign","of","is a sign",4
"is a tribute","to","is a tribute",4
"is a very","good","is a very",4
"is a waste","of","is a waste",4
"is a way","to","is a way",4
"is about the","same","is about the",4
"is about to","be","is about to",4
"is actually the","first","is actually the",4
"is against the","law","is against the",4
"is alive and","well","is alive and",4
"is all about","the","is all about",4
"is already starting","to","is already starting",4
"is also a","great","is also a",4
"is always a","good","is always a",4
"is always in","the","is always in",4
"is always the","best","is always the",4
"is an attempt","to","is an attempt",4
"is an opportunity","to","is an opportunity",4
"is arguably the","most","is arguably the",4
"is as good","as","is as good",4
"is at the","same","is at the",4
"is back at","the","is back at",4
"is based on","the","is based on",4
"is being able","to","is being able",4
"is best for","the","is best for",4
"is better than","the","is better than",4
"is by far","the","is by far",4
"is changing the","way","is changing the",4
"is chock full","of","is chock full",4
"is coming from","the","is coming from",4
"is coming to","the","is coming to",4
"is concerned about","the","is concerned about",4
"is considered to","be","is considered to",4
"is defined by","the","is defined by",4
"is described as","a","is described as",4
"is exactly what","we","is exactly what",4
"is far better","than","is far better",4
"is found in","the","is found in",4
"is free and","open","is free and",4
"is getting out","of","is getting out",4
"is going on","in","is going on",4
"is going to","be","is going to",4
"is good or","bad","is good or",4
"is good to","see","is good to",4
"is happy to","be","is happy to",4
"is here and","now","is here and",4
"is home to","the","is home to",4
"is how do","you","is how do",4
"is i have","to","is i have",4
"is important for","me","is important for",4
"is in a","sense","is in a",4
"is in charge","of","is in charge",4
"is in need","of","is in need",4
"is in store","for","is in store",4
"is in the","midst","is in the",4
"is included in","the","is included in",4
"is it going","to","is it going",4
"is it in","the","is it in",4
"is it possible","to","is it possible",4
"is it really","a","is it really",4
"is it too","much","is it too",4
"is just a","bad","is just a",4
"is just days","away","is just days",4
"is just not","there","is just not",4
"is just part","of","is just part",4
"is kind of","like","is kind of",4
"is known to","have","is known to",4
"is less than","a","is less than",4
"is looking for","a","is looking for",4
"is looking forward","to","is looking forward",4
"is made up","of","is made up",4
"is meant to","be","is meant to",4
"is more important","than","is more important",4
"is more interested","in","is more interested",4
"is more likely","to","is more likely",4
"is much more","than","is much more",4
"is no longer","a","is no longer",4
"is no need","to","is no need",4
"is no such","thing","is no such",4
"is no time","to","is no time",4
"is no way","to","is no way",4
"is not a","good","is not a",4
"is not always","easy","is not always",4
"is not an","option","is not an",4
"is not going","to","is not going",4
"is not in","the","is not in",4
"is not just","a","is not just",4
"is not necessarily","a","is not necessarily",4
"is not on","the","is not on",4
"is not out","of","is not out",4
"is not the","case","is not the",4
"is not to","be","is not to",4
"is not trying","to","is not trying",4
"is not what","the","is not what",4
"is not your","typical","is not your",4
"is nothing in","the","is nothing in",4
"is nothing wrong","with","is nothing wrong",4
"is nothing you","can","is nothing you",4
"is now on","the","is now on",4
"is now part","of","is now part",4
"is off the","charts","is off the",4
"is off to","a","is off to",4
"is often the","case","is often the",4
"is on the","line","is on the",4
"is one of","the","is one of",4
"is one reason","why","is one reason",4
"is out of","the","is out of",4
"is part of","the","is part of",4
"is perfect for","that","is perfect for",4
"is probably one","of","is probably one",4
"is probably the","best","is probably the",4
"is ready to","take","is ready to",4
"is right around","the","is right around",4
"is scheduled to","be","is scheduled to",4
"is shaping up","to","is shaping up",4
"is so full","of","is so full",4
"is so hard","to","is so hard",4
"is so much","more","is so much",4
"is someone who","has","is someone who",4
"is something you","have","is something you",4
"is still in","the","is still in",4
"is still on","the","is still on",4
"is such a","great","is such a",4
"is supposed to","be","is supposed to",4
"is sure to","be","is sure to",4
"is that it","is","is that it",4
"is that its","not","is that its",4
"is that of","the","is that of",4
"is that there","is","is that there",4
"is that they","are","is that they",4
"is that this","is","is that this",4
"is that we","have","is that we",4
"is that you","can","is that you",4
"is the ability","to","is the ability",4
"is the basis","for","is the basis",4
"is the best","way","is the best",4
"is the daughter","of","is the daughter",4
"is the difference","between","is the difference",4
"is the equivalent","of","is the equivalent",4
"is the first","time","is the first",4
"is the greatest","thing","is the greatest",4
"is the hardest","thing","is the hardest",4
"is the key","to","is the key",4
"is the kind","of","is the kind",4
"is the love","of","is the love",4
"is the most","important","is the most",4
"is the name","of","is the name",4
"is the number","of","is the number",4
"is the only","way","is the only",4
"is the part","of","is the part",4
"is the perfect","time","is the perfect",4
"is the place","to","is the place",4
"is the point","of","is the point",4
"is the product","of","is the product",4
"is the real","deal","is the real",4
"is the reason","for","is the reason",4
"is the right","thing","is the right",4
"is the same","as","is the same",4
"is the time","to","is the time",4
"is the type","of","is the type",4
"is there a","way","is there a",4
"is there any","way","is there any",4
"is to be","the","is to be",4
"is to have","a","is to have",4
"is to make","sure","is to make",4
"is to provide","a","is to provide",4
"is to try","to","is to try",4
"is trying to","keep","is trying to",4
"is up and","running","is up and",4
"is up for","a","is up for",4
"is up to","me","is up to",4
"is very difficult","to","is very difficult",4
"is very interesting","to","is very interesting",4
"is what happens","when","is what happens",4
"is what it","is","is what it",4
"is what makes","it","is what makes",4
"is what we","are","is what we",4
"is what you","get","is what you",4
"is why i","have","is why i",4
"is why they","are","is why they",4
"is within walking","distance","is within walking",4
"is without a","doubt","is without a",4
"is working on","a","is working on",4
"is worth more","than","is worth more",4
"is yet to","come","is yet to",4
"isnt going to","be","isnt going to",4
"isnt the same","as","isnt the same",4
"it a couple","times","it a couple",4
"it again next","year","it again next",4
"it all comes","down","it all comes",4
"it all depends","on","it all depends",4
"it all in","the","it all in",4
"it all on","the","it all on",4
"it all the","time","it all the",4
"it allows you","to","it allows you",4
"it amazes me","that","it amazes me",4
"it and we","can","it and we",4
"it as it","is","it as it",4
"it as much","as","it as much",4
"it at in","the","it at in",4
"it at the","end","it at the",4
"it big in","the","it big in",4
"it but i","just","it but i",4
"it but im","not","it but im",4
"it can be","done","it can be",4
"it comes down","to","it comes down",4
"it comes time","to","it comes time",4
"it comes to","the","it comes to",4
"it could be","a","it could be",4
"it could have","been","it could have",4
"it day by","day","it day by",4
"it didnt work","out","it didnt work",4
"it does look","like","it does look",4
"it does not","matter","it does not",4
"it doesnt feel","like","it doesnt feel",4
"it doesnt have","to","it doesnt have",4
"it doesnt hurt","to","it doesnt hurt",4
"it doesnt matter","what","it doesnt matter",4
"it ended up","being","it ended up",4
"it every once","in","it every once",4
"it feels like","a","it feels like",4
"it felt like","a","it felt like",4
"it gets to","the","it gets to",4
"it had a","lot","it had a",4
"it had to","be","it had to",4
"it happens all","the","it happens all",4
"it hard to","get","it hard to",4
"it has all","the","it has all",4
"it has been","a","it has been",4
"it has the","same","it has the",4
"it has to","be","it has to",4
"it i dont","want","it i dont",4
"it i had","to","it i had",4
"it i want","to","it i want",4
"it if it","was","it if it",4
"it if you","can","it if you",4
"it in front","of","it in front",4
"it in the","future","it in the",4
"it is a","good","it is a",4
"it is about","a","it is about",4
"it is all","over","it is all",4
"it is also","the","it is also",4
"it is best","to","it is best",4
"it is better","to","it is better",4
"it is difficult","to","it is difficult",4
"it is easy","to","it is easy",4
"it is essential","to","it is essential",4
"it is even","more","it is even",4
"it is for","the","it is for",4
"it is going","to","it is going",4
"it is good","to","it is good",4
"it is hard","to","it is hard",4
"it is illegal","to","it is illegal",4
"it is important","to","it is important",4
"it is impossible","to","it is impossible",4
"it is in","the","it is in",4
"it is it","is","it is it",4
"it is kind","of","it is kind",4
"it is my","job","it is my",4
"it is not","a","it is not",4
"it is one","of","it is one",4
"it is possible","to","it is possible",4
"it is said","that","it is said",4
"it is so","far","it is so",4
"it is such","a","it is such",4
"it is the","best","it is the",4
"it is time","to","it is time",4
"it is to","have","it is to",4
"it is too","early","it is too",4
"it is up","to","it is up",4
"it is very","interesting","it is very",4
"it is what","it","it is what",4
"it just hit","me","it just hit",4
"it just seems","like","it just seems",4
"it just so","happens","it just so",4
"it like it","is","it like it",4
"it looks like","a","it looks like",4
"it looks so","much","it looks so",4
"it made me","feel","it made me",4
"it makes no","sense","it makes no",4
"it makes sense","to","it makes sense",4
"it may be","a","it may be",4
"it may have","to","it may have",4
"it may not","be","it may not",4
"it means so","much","it means so",4
"it means to","be","it means to",4
"it might be","a","it might be",4
"it might not","be","it might not",4
"it needs to","be","it needs to",4
"it on the","road","it on the",4
"it one step","at","it one step",4
"it out for","the","it out for",4
"it out of","the","it out of",4
"it out on","the","it out on",4
"it out when","i","it out when",4
"it rains it","pours","it rains it",4
"it reminded me","of","it reminded me",4
"it seems like","a","it seems like",4
"it seems that","the","it seems that",4
"it seems to","be","it seems to",4
"it should be","a","it should be",4
"it should have","been","it should have",4
"it shouldnt be","a","it shouldnt be",4
"it sounds like","a","it sounds like",4
"it takes a","long","it takes a",4
"it takes all","the","it takes all",4
"it takes to","be","it takes to",4
"it takes years","to","it takes years",4
"it the next","day","it the next",4
"it the right","way","it the right",4
"it the same","way","it the same",4
"it to be","a","it to be",4
"it to him","and","it to him",4
"it to me","and","it to me",4
"it to the","next","it to the",4
"it too much","to","it too much",4
"it took a","while","it took a",4
"it turned into","a","it turned into",4
"it turned out","to","it turned out",4
"it up a","notch","it up a",4
"it up at","the","it up at",4
"it up for","the","it up for",4
"it up in","the","it up in",4
"it used to","be","it used to",4
"it was a","good","it was a",4
"it was an","honor","it was an",4
"it was at","the","it was at",4
"it was better","than","it was better",4
"it was called","the","it was called",4
"it was easy","to","it was easy",4
"it was for","a","it was for",4
"it was fun","to","it was fun",4
"it was going","to","it was going",4
"it was good","to","it was good",4
"it was great","to","it was great",4
"it was hard","to","it was hard",4
"it was just","a","it was just",4
"it was kind","of","it was kind",4
"it was like","a","it was like",4
"it was my","first","it was my",4
"it was nice","to","it was nice",4
"it was not","the","it was not",4
"it was on","the","it was on",4
"it was one","of","it was one",4
"it was only","a","it was only",4
"it was possible","to","it was possible",4
"it was really","good","it was really",4
"it was so","much","it was so",4
"it was still","very","it was still",4
"it was such","a","it was such",4
"it was supposed","to","it was supposed",4
"it was the","first","it was the",4
"it was worth","it","it was worth",4
"it when i","was","it when i",4
"it will be","a","it will be",4
"it will have","to","it will have",4
"it will never","be","it will never",4
"it with my","own","it with my",4
"it works out","for","it works out",4
"it would also","be","it would also",4
"it would be","a","it would be",4
"it would have","been","it would have",4
"it would help","if","it would help",4
"it would like","to","it would like",4
"it would not","be","it would not",4
"it you have","to","it you have",4
"it’s going to","be","it’s going to",4
"its a good","thing","its a good",4
"its a great","way","its a great",4
"its a little","too","its a little",4
"its a lot","of","its a lot",4
"its a mix","of","its a mix",4
"its a pretty","good","its a pretty",4
"its a really","good","its a really",4
"its a wonderful","life","its a wonderful",4
"its about to","get","its about to",4
"its all about","the","its all about",4
"its all in","the","its all in",4
"its always hard","to","its always hard",4
"its back to","the","its back to",4
"its been a","long","its been a",4
"its easy to","make","its easy to",4
"its fair to","say","its fair to",4
"its going to","be","its going to",4
"its good to","have","its good to",4
"its hard enough","to","its hard enough",4
"its hard to","believe","its hard to",4
"its important to","be","its important to",4
"its just a","matter","its just a",4
"its just not","the","its just not",4
"its like having","a","its like having",4
"its like to","have","its like to",4
"its more than","a","its more than",4
"its nice to","have","its nice to",4
"its not a","big","its not a",4
"its not all","about","its not all",4
"its not even","a","its not even",4
"its not going","to","its not going",4
"its not on","the","its not on",4
"its not something","that","its not something",4
"its not that","im","its not that",4
"its not the","same","its not the",4
"its one of","the","its one of",4
"its one thing","to","its one thing",4
"its part of","the","its part of",4
"its pretty much","a","its pretty much",4
"its really hard","to","its really hard",4
"its safe to","say","its safe to",4
"its supposed to","be","its supposed to",4
"its that time","of","its that time",4
"its the first","time","its the first",4
"its the only","way","its the only",4
"its the perfect","time","its the perfect",4
"its the right","thing","its the right",4
"its time for","a","its time for",4
"its time to","start","its time to",4
"its too late","for","its too late",4
"its up to","us","its up to",4
"its way through","the","its way through",4
"its what we","do","its what we",4
"ive been thinking","about","ive been thinking",4
"ive been trying","to","ive been trying",4
"ive been waiting","for","ive been waiting",4
"ive been working","on","ive been working",4
"ive got to","get","ive got to",4
"ive had a","great","ive had a",4
"ive had in","a","ive had in",4
"ive known for","years","ive known for",4
"ive never heard","of","ive never heard",4
"ive said it","before","ive said it",4
"ive seen in","a","ive seen in",4
"join the ranks","of","join the ranks",4
"judge a book","by","judge a book",4
"jumping up and","down","jumping up and",4
"just a bunch","of","just a bunch",4
"just a couple","of","just a couple",4
"just a few","months","just a few",4
"just a great","day","just a great",4
"just a little","bit","just a little",4
"just a matter","of","just a matter",4
"just as long","as","just as long",4
"just as much","as","just as much",4
"just come out","and","just come out",4
"just do not","want","just do not",4
"just dont have","a","just dont have",4
"just dont want","to","just dont want",4
"just enough time","to","just enough time",4
"just go with","it","just go with",4
"just had to","get","just had to",4
"just have to","get","just have to",4
"just in time","for","just in time",4
"just let me","know","just let me",4
"just like to","say","just like to",4
"just long enough","to","just long enough",4
"just look at","the","just look at",4
"just looking at","the","just looking at",4
"just need to","get","just need to",4
"just not the","same","just not the",4
"just one example","of","just one example",4
"just one of","the","just one of",4
"just one or","two","just one or",4
"just part of","the","just part of",4
"just so happens","to","just so happens",4
"just some of","the","just some of",4
"just the other","day","just the other",4
"just the right","amount","just the right",4
"just the way","i","just the way",4
"just think of","the","just think of",4
"just thought it","was","just thought it",4
"just to make","sure","just to make",4
"just to name","a","just to name",4
"just trying to","get","just trying to",4
"just two of","the","just two of",4
"just want to","be","just want to",4
"just wanted to","make","just wanted to",4
"just what you","need","just what you",4
"just when you","think","just when you",4
"keep an eye","on","keep an eye",4
"keep in mind","that","keep in mind",4
"keep up with","the","keep up with",4
"keep you up","to","keep you up",4
"keep your eye","on","keep your eye",4
"keep your head","up","keep your head",4
"keeping an eye","on","keeping an eye",4
"keeping up with","the","keeping up with",4
"keys to the","car","keys to the",4
"kid in a","candy","kid in a",4
"killed in a","car","killed in a",4
"kind of hard","to","kind of hard",4
"kind of like","the","kind of like",4
"knew it was","going","knew it was",4
"knew we had","to","knew we had",4
"knew what he","was","knew what he",4
"knew what she","was","knew what she",4
"knew who he","was","knew who he",4
"know a lot","of","know a lot",4
"know he is","a","know he is",4
"know how hard","it","know how hard",4
"know how i","feel","know how i",4
"know how it","is","know how it",4
"know how to","make","know how to",4
"know i love","you","know i love",4
"know if i","could","know if i",4
"know if it","is","know if it",4
"know if there","will","know if there",4
"know im going","to","know im going",4
"know it was","a","know it was",4
"know it would","be","know it would",4
"know that i","will","know that i",4
"know that im","not","know that im",4
"know that there","are","know that there",4
"know that you","can","know that you",4
"know the reason","for","know the reason",4
"know the whole","story","know the whole",4
"know there is","a","know there is",4
"know too much","about","know too much",4
"know what else","to","know what else",4
"know what i","would","know what i",4
"know what im","talking","know what im",4
"know what it","was","know what it",4
"know what its","like","know what its",4
"know what kind","of","know what kind",4
"know what that","means","know what that",4
"know what they","are","know what they",4
"know what theyre","doing","know what theyre",4
"know what to","do","know what to",4
"know what was","going","know what was",4
"know what you","are","know what you",4
"know what youre","doing","know what youre",4
"know whats going","on","know whats going",4
"know who they","are","know who they",4
"know who you","are","know who you",4
"know why i","just","know why i",4
"known to be","a","known to be",4
"knows how to","get","knows how to",4
"large number of","people","large number of",4
"large portion of","the","large portion of",4
"last but not","least","last but not",4
"last day of","the","last day of",4
"last night i","had","last night i",4
"last time i","was","last time i",4
"last year i","was","last year i",4
"last year on","the","last year on",4
"last years or","so","last years or",4
"late into the","night","late into the",4
"late s and","s","late s and",4
"late to the","party","late to the",4
"later in the","day","later in the",4
"leading up to","the","leading up to",4
"learn more about","the","learn more about",4
"least once a","week","least once a",4
"least we can","do","least we can",4
"left in the","game","left in the",4
"left out of","the","left out of",4
"less likely to","be","less likely to",4
"less than a","week","less than a",4
"less than an","hour","less than an",4
"less than two","weeks","less than two",4
"let him know","what","let him know",4
"let it go","and","let it go",4
"let me just","say","let me just",4
"let me know","how","let me know",4
"let them know","that","let them know",4
"let you know","when","let you know",4
"lets just hope","it","lets just hope",4
"lets just say","im","lets just say",4
"lets make it","happen","lets make it",4
"letter to the","editor","letter to the",4
"life is too","short","life is too",4
"life to the","fullest","life to the",4
"light at the","end","light at the",4
"like a bunch","of","like a bunch",4
"like a kid","in","like a kid",4
"like a lot","of","like a lot",4
"like a normal","person","like a normal",4
"like i have","a","like i have",4
"like i should","have","like i should",4
"like it could","be","like it could",4
"like it or","not","like it or",4
"like it was","the","like it was",4
"like it would","be","like it would",4
"like something out","of","like something out",4
"like that would","be","like that would",4
"like the fact","that","like the fact",4
"like the idea","of","like the idea",4
"like the rest","of","like the rest",4
"like they have","the","like they have",4
"like to be","in","like to be",4
"like to do","something","like to do",4
"like to have","a","like to have",4
"like to hear","from","like to hear",4
"like to live","in","like to live",4
"like to say","that","like to say",4
"like to see","the","like to see",4
"like to share","with","like to share",4
"like to talk","to","like to talk",4
"like to thank","all","like to thank",4
"like to think","i","like to think",4
"like you are","in","like you are",4
"line in the","sand","line in the",4
"lined up in","the","lined up in",4
"list of all","the","list of all",4
"list of things","that","list of things",4
"listen to some","of","listen to some",4
"little bit of","a","little bit of",4
"little did i","know","little did i",4
"little red riding","hood","little red riding",4
"live in a","world","live in a",4
"live in los","angeles","live in los",4
"live in the","city","live in the",4
"live life to","the","live life to",4
"live up to","the","live up to",4
"living in the","us","living in the",4
"long as they","are","long as they",4
"long as you","can","long as you",4
"long enough to","get","long enough to",4
"long periods of","time","long periods of",4
"long way to","go","long way to",4
"look at all","the","look at all",4
"look at it","this","look at it",4
"look at me","and","look at me",4
"look forward to","seeing","look forward to",4
"look in the","mirror","look in the",4
"look on his","face","look on his",4
"look out my","window","look out my",4
"looked at her","and","looked at her",4
"looked at it","as","looked at it",4
"looked at me","and","looked at me",4
"looking at all","the","looking at all",4
"looking for a","new","looking for a",4
"looking for someone","to","looking for someone",4
"looking for something","to","looking for something",4
"looking for the","next","looking for the",4
"looking for ways","to","looking for ways",4
"looking forward to","the","looking forward to",4
"looks a lot","like","looks a lot",4
"looks to be","an","looks to be",4
"lord of the","rings","lord of the",4
"lot more than","that","lot more than",4
"lot of good","things","lot of good",4
"lot of hard","work","lot of hard",4
"lot of people","are","lot of people",4
"lot of the","same","lot of the",4
"lot of things","that","lot of things",4
"lot of time","to","lot of time",4
"lot of work","to","lot of work",4
"lot to do","with","lot to do",4
"lot to learn","from","lot to learn",4
"lots of fun","and","lots of fun",4
"lots of time","to","lots of time",4
"love to be","able","love to be",4
"love to get","a","love to get",4
"love to see","the","love to see",4
"love what i","do","love what i",4
"love you and","i","love you and",4
"loved it and","i","loved it and",4
"lucky enough to","have","lucky enough to",4
"lucky to have","a","lucky to have",4
"made a lot","of","made a lot",4
"made a statement","that","made a statement",4
"made it easier","to","made it easier",4
"made it in","the","made it in",4
"made it to","the","made it to",4
"made me a","better","made me a",4
"made me think","of","made me think",4
"made me want","to","made me want",4
"made the mistake","of","made the mistake",4
"made up of","two","made up of",4
"mae and freddie","mac","mae and freddie",4
"make a big","deal","make a big",4
"make a difference","in","make a difference",4
"make a lot","of","make a lot",4
"make a name","for","make a name",4
"make a trip","to","make a trip",4
"make an effort","to","make an effort",4
"make an impact","in","make an impact",4
"make it back","to","make it back",4
"make it easier","for","make it easier",4
"make it one","of","make it one",4
"make it out","of","make it out",4
"make it seem","like","make it seem",4
"make it to","the","make it to",4
"make me feel","like","make me feel",4
"make sense to","me","make sense to",4
"make something out","of","make something out",4
"make sure it","is","make sure it",4
"make sure that","you","make sure that",4
"make sure they","are","make sure they",4
"make sure you","have","make sure you",4
"make the best","of","make the best",4
"make the mistake","of","make the mistake",4
"make the most","of","make the most",4
"make the world","a","make the world",4
"make up for","the","make up for",4
"make you feel","like","make you feel",4
"makes a big","difference","makes a big",4
"makes a huge","difference","makes a huge",4
"makes it easier","for","makes it easier",4
"makes it harder","to","makes it harder",4
"makes me feel","good","makes me feel",4
"making it easier","for","making it easier",4
"making it to","the","making it to",4
"man in the","world","man in the",4
"man of the","year","man of the",4
"many of them","are","many of them",4
"many of you","are","many of you",4
"many people in","the","many people in",4
"martin luther king","jr","martin luther king",4
"matter how many","times","matter how many",4
"matter how much","we","matter how much",4
"matter of time","before","matter of time",4
"matter what you","do","matter what you",4
"may as well","be","may as well",4
"may be able","to","may be able",4
"may be out","of","may be out",4
"may be the","most","may be the",4
"may have been","the","may have been",4
"may have something","to","may have something",4
"may have to","go","may have to",4
"may not be","the","may not be",4
"may not even","be","may not even",4
"may or may","not","may or may",4
"maybe i need","to","maybe i need",4
"maybe its just","the","maybe its just",4
"maybe its time","to","maybe its time",4
"me a better","person","me a better",4
"me a while","to","me a while",4
"me all the","time","me all the",4
"me and i","will","me and i",4
"me and let","me","me and let",4
"me and my","wife","me and my",4
"me as if","i","me as if",4
"me back to","the","me back to",4
"me from time","to","me from time",4
"me i have","to","me i have",4
"me i just","wanted","me i just",4
"me i want","to","me i want",4
"me i wanted","to","me i wanted",4
"me in front","of","me in front",4
"me in the","eye","me in the",4
"me know how","it","me know how",4
"me on the","phone","me on the",4
"me out of","the","me out of",4
"me so much","and","me so much",4
"me that he","was","me that he",4
"me think of","the","me think of",4
"me to be","a","me to be",4
"me to make","a","me to make",4
"me to see","the","me to see",4
"me to take","a","me to take",4
"me to the","hospital","me to the",4
"me to write","a","me to write",4
"me up at","night","me up at",4
"me up for","the","me up for",4
"me when i","was","me when i",4
"mean so much","to","mean so much",4
"mean you have","to","mean you have",4
"means a lot","to","means a lot",4
"means so much","to","means so much",4
"meant a lot","to","meant a lot",4
"member of the","family","member of the",4
"men and women","who","men and women",4
"middle of the","night","middle of the",4
"might as well","be","might as well",4
"might be a","good","might be a",4
"might be able","to","might be able",4
"might be good","for","might be good",4
"might be the","best","might be the",4
"might be time","for","might be time",4
"might have been","a","might have been",4
"might not be","the","might not be",4
"might not want","to","might not want",4
"minutes left in","the","minutes left in",4
"minutes to go","in","minutes to go",4
"missed out on","the","missed out on",4
"mitt romney is","a","mitt romney is",4
"mom in the","world","mom in the",4
"moment in my","life","moment in my",4
"money to be","made","money to be",4
"month and a","half","month and a",4
"month of the","year","month of the",4
"more excited about","the","more excited about",4
"more information about","the","more information about",4
"more likely to","be","more likely to",4
"more often than","not","more often than",4
"more than a","year","more than a",4
"more than an","hour","more than an",4
"more than any","other","more than any",4
"more than half","of","more than half",4
"more than happy","to","more than happy",4
"more than in","the","more than in",4
"more than just","a","more than just",4
"more than the","average","more than the",4
"more time in","the","more time in",4
"more to do","with","more to do",4
"most important part","of","most important part",4
"most important person","in","most important person",4
"most important thing","to","most important thing",4
"most likely to","be","most likely to",4
"most of all","i","most of all",4
"most of my","life","most of my",4
"most of the","time","most of the",4
"most of them","are","most of them",4
"most of us","have","most of us",4
"most of what","i","most of what",4
"move to a","new","move to a",4
"moved away from","the","moved away from",4
"movies of all","time","movies of all",4
"moving on to","a","moving on to",4
"moving to a","larger","moving to a",4
"much a part","of","much a part",4
"much as i","love","much as i",4
"much as it","is","much as it",4
"much as possible","but","much as possible",4
"much as the","next","much as the",4
"much as we","can","much as we",4
"much as you","can","much as you",4
"much better than","the","much better than",4
"much has changed","in","much has changed",4
"much in the","way","much in the",4
"much more than","a","much more than",4
"much to ask","for","much to ask",4
"much to do","with","much to do",4
"must be able","to","must be able",4
"must be at","least","must be at",4
"must be willing","to","must be willing",4
"must have been","a","must have been",4
"my body and","mind","my body and",4
"my day with","a","my day with",4
"my family and","my","my family and",4
"my favorite things","about","my favorite things",4
"my friends and","family","my friends and",4
"my guess is","that","my guess is",4
"my hands and","knees","my hands and",4
"my head when","i","my head when",4
"my heart and","soul","my heart and",4
"my heart is","broken","my heart is",4
"my husband and","i","my husband and",4
"my job is","to","my job is",4
"my life and","i","my life and",4
"my life on","the","my life on",4
"my life that","i","my life that",4
"my mom and","i","my mom and",4
"my mom or","dad","my mom or",4
"my thoughts and","prayers","my thoughts and",4
"myself away from","the","myself away from",4
"nail on the","head","nail on the",4
"name of the","lord","name of the",4
"national institutes of","health","national institutes of",4
"near the end","of","near the end",4
"near the top","of","near the top",4
"nearly as much","as","nearly as much",4
"neck of the","woods","neck of the",4
"need a lot","of","need a lot",4
"need some kind","of","need some kind",4
"need to be","more","need to be",4
"need to catch","up","need to catch",4
"need to change","the","need to change",4
"need to come","to","need to come",4
